구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1406,2019-08-24,2019-08-24,"교원,중학교,고등학교,초등학교",대구  아양아트센터  연극 월곡동 산 2번지,아양아트센터 아양홀,대구 동구 효동로2길 24
1407,2019-08-23,2019-12-10,"중학교,고등학교",서울 한국영화박물관  중.고등학교 진로체험  영화를 만드는 사람들 ,한국영화박물관 지하 1층 교육실(시네마테크KOFA 3관),서울시 마포구 월드컵북로 400
1408,2019-08-23,2019-10-24,유치원,경기  경기도어린이박물관  꼬마여우의 모험,경기도어린이박물관,경기도 용인시 기흥구 상갈로 6
1409,2019-08-23,2019-10-20,"교원,중학교,유치원,고등학교,초등학교",대구  봉산문화회관  신명준  낙원의형태 展,봉산문화회관 2층 아트스페이스,대구 중구 봉산문화길 77
1410,2019-08-23,2019-10-13,"교원,중학교,유치원,고등학교,초등학교",충북  가람신작 및 중앙공원  아트 바자르 청주,가람신작 및 중앙공원 일대,충북 청주시 상당구 대성로 122번길
1411,2019-08-23,2019-09-28,"고등학교,초등학교,중학교,유치원",서울  마포평생학습관  온 가족 책 잔치,마포평생학습관,서울 마포구 홍익로2길 16
1412,2019-08-23,2019-09-24,"고등학교,초등학교,중학교,유치원",서울  동작샘터도서관  태평소 만들기,동작샘터도서관,서울특별시 동작구 동작대로 29길 63-26
1413,2019-08-23,2019-09-23,초등학교,서울  동작샘터도서관  소행도자연과 함께 상상하기,동작샘터도서관,서울특별시 동작구 동작대로 29길63-26
1414,2019-08-23,2019-09-21,초등학교,서울  강북문화정보도서관  동화 속 요리여행,강북문화정보도서관,서울특별시 강북구 오현로 145
1415,2019-08-23,2019-09-18,초등학교,광주  국립광주과학관  출발 감각기관을 찾아서,광주국립과학관,광주광역시 북구 첨단과기로 235
1416,2019-08-23,2019-09-18,초등학교,광주  국립광주과학관  CSI과학수사대,광주국립과학관,광주광역시 북구 첨단과기로 235
