구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1417,2019-08-23,2019-09-03,"고등학교,초등학교,중학교",서울  강남도서관  9월 책방으로 간 도서관,강남도서관,서울 강남구 선릉로 116길 45
1418,2019-08-23,2019-08-31,초등학교,서울  강북문화정보도서관  이야기속 주인공 만들기,강북문화정보도서관,서울특별시 강북구 오현로 145
1419,2019-08-23,2019-08-31,"고등학교,초등학교,중학교,유치원,교원",충남  논산시민공원일대  제14회 논산시 청소년문화제,논산시민공원일대/논산문화원,충남 논산시 관촉로 113-16
1420,2019-08-23,2019-08-30,교원,서울  강동구다문화가족지원센터  결혼이민자를 위한 컴퓨터 기초반,강동구다문화가족지원센터,서울시 강동구 양재대로 138길 41
1421,2019-08-22,2019-10-24,"고등학교,중학교",충북  진천군보건소  장애 청소년 특수체육 프로그램 참여자 모집,기타,충청북도 진천군 진천읍 중앙북1길 11-8
1422,2019-08-22,2019-09-06,초등학교,광주  사직도서관  초등 하브루타,사직도서관,광주광역시 남구 제중로 56
1423,2019-08-22,2019-08-31,교원,경기  성포도서관  5060세대 나이듦 수업,성포도서관,경기도 안산시 상록구 충장로 528
1424,2019-08-22,2019-08-29,유치원,서울 국립중앙박물관어린이박물관  6 7세 유아가족 그림 속으로 폴짝폴짝,공간온,서울특별시 용산구 서빙고로 137
1425,2019-08-22,2019-08-29,초등학교,서울 국립중앙박물관어린이박물관  초등 2 3학년 어린이 그림 속으로 순간이동,"어린이박물관 생각쑥쑥교실, 특별전시실",서울특별시 용산구 서빙고로 137
1426,2019-08-22,2019-08-29,유치원,부산  남구도서관  천연 오일로 만드는 가을 숲 속 향기,남구도서관 2층 취미실,부산광역시 남구 수영로267번길 61
1427,2019-08-22,2019-08-29,초등학교,부산  남구도서관  가을 밤 하늘에서 나의 별자리 찾기,남구도서관 2층 취미실,부산광역시 남구 수영로267번길 61
1428,2019-08-22,2019-08-22,"중학교,고등학교,초등학교,교원",충남  천안예술의전당  김지윤 비올라 리사이틀,천안예술의전당,충청남도 천안시 동남구 성남면 종합휴양지로 185
1429,2019-08-21,2019-09-21,중학교,"경기  배다리도서관  토론, 세상을 품다 시즌2",배다리도서관,경기도 평택시 죽백6로 20
1430,2019-08-21,2019-09-20,초등학교,서울  마포평생학습관  내 말 좀 들어주세요,마포평생학습관,서울 마포구 홍익로2길 16
1431,2019-08-21,2019-09-15,"중학교,유치원,교원,고등학교,초등학교",충북  충북문화관  충북문화관 기획전 박석호 탄생 100주년 기념완전한 미완전,충북문학관 숲속갤러리,청주시 상당구 대성로 122번길 67
1432,2019-08-21,2019-09-14,"중학교,고등학교",경기 바이오세상 EDU  DNA 전기영동 및 항산화 활성 실험,(주)바이오세상 교육장,경기도 성남시 분당구 판교로 697 A-507
1433,2019-08-21,2019-09-09,유치원,부산  사상도서관  이사랏 작가와의 만남,사상구 육아종합지원센터 4층 다목적홀,부산광역시 사상구 낙동대로1210번길 17
1434,2019-08-21,2019-09-09,"고등학교,초등학교,교원,중학교",부산  사상도서관  길위의 인문학 제3차 일제강점기 저항의 선봉에 선 부산사람들,"사상도서관, 밀양 금정구 일대",부산광역시 사상구 덕상로72번길 9
1435,2019-08-21,2019-09-04,"고등학교,초등학교,중학교",경기  이천시립마장도서관  합장매듭팔찌 만들기,이천시립마장도서관,경기도 이천시 마장면 마장로11
1436,2019-08-21,2019-09-03,"중학교,유치원,고등학교,초등학교",서울  동작구 통합도서관  우리동네 작은 도서관 투어,동작구 통합도서관,서울 동작구 노량진로 74
1437,2019-08-21,2019-09-03,유치원,서울  대방어린이도서관  플레이 쿡 북,대방어린이도서관,서울특별시 동작구 대방동길 55
1438,2019-08-21,2019-09-03,"교원,고등학교",서울  중랑구립정보도서관  북스타트 부모교육,중랑구립정보도서관,서울특별시 중랑구 신내로15길 197
1439,2019-08-21,2019-09-01,유치원,부산  부산광역시립시민도서관  리딩버디버디 4기,부산광역시립시민도서관 1층 아메리칸 코너,부산광역시 부산진구 월드컵대로 462
1440,2019-08-21,2019-08-29,"중학교,유치원,교원,고등학교,초등학교",서울 기억의터  남산 예장자락 역사탐방 프로그램 행사,①통감관저터  ②에니메이션 센타(조선총독부)  ③노기 경성신사(리라초교) ④한양공원비 ⑤조선신궁터 ,서울특별시 중구 퇴계로26가길 6
1441,2019-08-21,2019-08-28,"초등학교,유치원",부산  남구도서관  가족인형극  달콤한 방귀 사세요,남구도서관 2층 시청각실,부산광역시 남구 수영로267번길 61
1442,2019-08-21,2019-08-27,초등학교,경남  진해도서관  과학실험교실B,진해도서관 6층 다목적실,경상남도 창원시 진해구 충장로 141
1443,2019-08-21,2019-08-27,유치원,경남  진해도서관  과학실험교실A,진해도서관 6층 다목적실,경상남도 창원시 진해구 충장로 141
1444,2019-08-21,2019-08-26,"유치원,초등학교",부산  사상도서관  소윤경 작가와의 만남,사상구 육아종합지원센터 4층 다목적홀,부산광역시 사상구 낙동대로1210번길 17
1445,2019-08-21,2019-08-25,초등학교,서울  은평구립도서관  내가 바로 월드스타,은평구립도서관,서울특별시 은평구 통일로78가길 13-84
1446,2019-08-21,2019-08-23,"중학교,유치원,고등학교,초등학교,교원",부산  국립부산과학관  2019 배 만들기 참 Ship다,"국립부산과학관 정문광장, 천체투영관 앞마당",부산 기장군 기장읍 동부산관광6로 59
1447,2019-08-20,2019-11-03,"중학교,유치원,고등학교,초등학교",전북  익산시청  제16회 천만송이 국화축제,익산시청,전라북도 익산시 인북로32길 1
1448,2019-08-20,2019-10-31,"중학교,고등학교,초등학교","서울  최순우옛집  자수, 오붓한 꿈",최순우옛집,서울시 성북구 성북로 15길 9
1449,2019-08-20,2019-10-27,"교원,고등학교,초등학교,중학교,유치원",경기 부천활박물관  국가무형문화재 제47호 궁시장 김박영 관리자,기획전시실,경기도 부천시 소사로 482
1450,2019-08-20,2019-09-30,유치원,인천  인천대공원  목재문화체험장 구름나무놀이터 (평일),인천대공원,인천광역시 남동구 무네미로 238
1451,2019-08-20,2019-09-30,"고등학교,초등학교,중학교,유치원",인천  인천대공원  목재문화체험장 느티나무공방 (주말),인천대공원 목재문화체험장,인천광역시 남동구 무네미로 238
1452,2019-08-20,2019-09-30,"고등학교,초등학교,중학교",인천  인천대공원  목재문화체험장 은행나무공방(주말),인천광역시 남동구 무네미로 238,인천광역시 남동구 무네미로 238
1453,2019-08-20,2019-09-30,"고등학교,초등학교,교원,중학교",인천  인천대공원  목재문화체험장 은행나무공방(평일),인천광역시 남동구 무네미로 238,인천광역시 남동구 무네미로 238
1454,2019-08-20,2019-09-30,유치원,인천  인천대공원  목재문화체험장 구름나무놀이터 (주말),인천대공원,인천광역시 남동구 무네미로 238
1455,2019-08-20,2019-09-29,"중학교,유치원,고등학교,초등학교",서울  송파구청  한성백제문화제,송파구청,서울특별시 송파구 올림픽로 326
1456,2019-08-20,2019-09-29,"초등학교,유치원",서울 경춘선숲길  경춘선숲에서 기차놀이 go go,경춘선숲길 방문자센터/ 무궁화호객차,서울 노원구 하계동 107-2
1457,2019-08-20,2019-09-29,초등학교,서울 북서울꿈의숲  벌리(伐李)에서 역사랑 전통문화가 쏙쏙,북서울꿈의숲 방문자센터 1층,서울 강북구 번동 산 28-13
1458,2019-08-20,2019-09-28,"유치원,초등학교",서울 북서울꿈의숲  꿈의 숲 런닝맨,북서울꿈의숲 방문자센터 2층,서울 강북구 번동 산 28-13
1459,2019-08-20,2019-09-28,유치원,서울 경춘선숲길  경춘선 자연공작 교실,경춘선숲길 방문자센터/ 무궁화호객차,서울 노원구 하계동 107-2
1460,2019-08-20,2019-09-28,초등학교,서울 북서울꿈의숲  선비체험(인성교육),북서울꿈의숲 창녕위궁재사,서울 강북구 번동 산 28-6
1461,2019-08-20,2019-09-27,유치원,서울 북서울꿈의숲  꿈의 숲 키드 가드닝,북서울꿈의숲 방문자센터 2층,서울 강북구 번동 산 28-13
1462,2019-08-20,2019-09-25,초등학교,인천  인천대공원  산림치유프로그램_가족모여 숲(1회 참여 프로그램),인천광역시 남동구 무네미로 236,인천광역시 남동구 무네미로 236
1463,2019-08-20,2019-09-24,유치원,서울 북서울꿈의숲  우리는 숲속탐험대,북서울꿈의숲 방문자센터 2층 회의실,서울 강북구 번동 산 28-13
1464,2019-08-20,2019-09-20,"중학교,유치원,고등학교,초등학교",경기  다산아트홀  항일 독립운동을 보다,다산아트홀,경기도 남양주시 다산중앙로 7
1465,2019-08-20,2019-09-14,"초등학교,교원",대구  북구다문화가족지원센터  내 마음 여행하기,북구다문화가족지원센터,대구광역시 북구 칠곡중앙대로 473 조은빌딩 2층
1466,2019-08-20,2019-09-07,"중학교,고등학교,교원",충남  서산시문화회관  연극 염쟁이 유씨,서산시문화회관,충청남도 서산시 문화로 54
1467,2019-08-20,2019-09-06,초등학교,인천  인천대공원  산림치유프로그램_가족모여 숲(4회 참여 프로그램),인천대공원 산림치유센터,인천광역시 남동구 무네미로 236
1468,2019-08-20,2019-09-04,"고등학교,초등학교,중학교,유치원,교원",경기  안산중앙도서관  안산의 책 SNS,안산 중앙도서관,경기도 안산시 단원구 안산천남로 14
1469,2019-08-20,2019-09-03,"교원,유치원",경기  수정도서관  북드림 책놀이 친구 모집,성남시 수정도서관,경기도 성남시 수정구 수정로332번길 32
1470,2019-08-20,2019-09-02,교원,경기  마장도서관  영화 읽어주는 인문학,마장도서관,경기도 이천시 마장면 마장로11
1471,2019-08-20,2019-08-31,"고등학교,초등학교,중학교,유치원,교원",충북  미동산수목원  목재문화체험교실,미동산수목원 내 목재문화체험장,충북 청주시 상당구 미원면 수목원길 51
1472,2019-08-20,2019-08-31,초등학교,서울  이화여자대학교박물관  나만의 소장품 만들기,이화여자대학교 박물관,서울특별시 서대문구 이화여대길 52
1473,2019-08-20,2019-08-31,"중학교,유치원,고등학교,초등학교",경기  의왕청소년수련관  관객과의 대화,의왕청소년수련관,경기도 의왕시 문화공원로 33
1474,2019-08-20,2019-08-31,"고등학교,초등학교,중학교,유치원",경기  성남시청  노천극장 시네마시티,성남시청,경기도 성남시 중원구 성남대로 997
1475,2019-08-20,2019-08-31,중학교,강원  양양교육도서관  2019 하반기 평생학습강좌 함께 읽는 조선왕조실talk,양양교육도서관,강원도 양양군 양양읍 남문로 50
1476,2019-08-20,2019-08-31,초등학교,강원  양양교육도서관  2019 하반기 평생학습강좌 세계사 시간 여행,양양교육도서관,강원도 양양군 양양읍 남문로 50
1477,2019-08-20,2019-08-31,초등학교,강원  양양교육도서관  2019 하반기 평생학습강좌 생각 상상이 커가는 그림책 놀이터,양양교육도서관,강원도 양양군 양양읍 남문로 50
1478,2019-08-20,2019-08-31,초등학교,강원  양양교육도서관  2019 하반기 평생학습강좌 요리 짱 과학 짱,양양교육도서관,강원도 양양군 양양읍 남문로 50
1479,2019-08-20,2019-08-31,초등학교,강원  양양교육도서관  2019 하반기 평생학습강좌 역지사지 생생 토론,양양교육도서관,강원도 양양군 양양읍 남문로 50
1480,2019-08-20,2019-08-31,초등학교,강원  양양교육도서관  2019 하반기 평생학습강좌 맨사 보드게임,양양교육도서관,강원도 양양군 양양읍 남문로 50
1481,2019-08-20,2019-08-30,"교원,고등학교,초등학교,중학교,유치원",서울 문화비축기지  서울365문화비축기지패션쇼 (VIP예약),문화비축기지,서울특별시 마포구 증산로 87
1482,2019-08-20,2019-08-30,"초등학교,교원",서울  강서구건강가정다문화가족지원센터  2019 아버지교실 아빠와 함께 수리수리 마수리,강서구건강가정다문화가족지원센터,서울특별시 강서구 강서로5길 50 곰달래문화복지센터 4층
1483,2019-08-20,2019-08-30,"중학교,교원,고등학교",충남  금산다락원  뮤지컬 지하철 1호선,금산다락원 생명의집 대공연장,충남 금산군 금산읍 금산로 1559
1484,2019-08-20,2019-08-29,"고등학교,초등학교,교원,중학교,유치원",경기  경기과천교육도서관  평생교육 프로그램,경기과천교육도서관,경기도 과천시 도서관길 36
1485,2019-08-20,2019-08-28,교원,부산  금정구건강가정다문화가족지원센터  엄마손반찬,이마트 금정점 문화센터,부산광역시 금정구 중앙대로 1992 2층
1486,2019-08-20,2019-08-26,초등학교,서울  은평구립도서관  우리나라 역사 속 전쟁과 평화 이야기,은평도서관,서울특별시 은평구 통일로78가길 13-84
1487,2019-08-20,2019-08-23,유치원,부산  부산광역시립시민도서관  동화나라로 쿵쿵 (A)반,부산광역시립시민도서관 유아실,부산광역시 부산진구 월드컵대로 462
1488,2019-08-20,2019-08-23,유치원,부산  부산광역시립시민도서관  동화나라로 쿵쿵 (B)반,부산광역시립시민도서관 유아실,부산광역시 부산진구 월드컵대로 462
